ID,Husband_Education,Husband_Race,Couple_Race,Duration,Divorce
513,12-15 years,Other Ethnic Groups,Same-Race,3.775,0
520,12-15 years,Other Ethnic Groups,Same-Race,3.565,0
528,Less than 12 years,Other Ethnic Groups,Same-Race,4.977,0
530,12-15 years,Other Ethnic Groups,Same-Race,5.246,0
537,12-15 years,Other Ethnic Groups,Same-Race,1.257,0
551,12-15 years,Other Ethnic Groups,Same-Race,.6,0
553,Less than 12 years,Other Ethnic Groups,Same-Race,40.501,0
559,12-15 years,Other Ethnic Groups,Same-Race,49.002,0
561,Less than 12 years,Other Ethnic Groups,Same-Race,6.0015,1
566,12-15 years,Other Ethnic Groups,Same-Race,1.878,0
576,12-15 years,Black,Same-Race,7.003,0
579,12-15 years,Black,Same-Race,7.003,0
581,16+ years,Other Ethnic Groups,Same-Race,41.199,0
584,12-15 years,Other Ethnic Groups,Same-Race,47.546,0
590,12-15 years,Other Ethnic Groups,Same-Race,21.467,0
592,16+ years,Other Ethnic Groups,Same-Race,21.002,1
600,12-15 years,Other Ethnic Groups,Same-Race,21.467,0
602,Less than 12 years,Other Ethnic Groups,Same-Race,24.832,0
604,Less than 12 years,Other Ethnic Groups,Same-Race,41.999,0
606,Less than 12 years,Other Ethnic Groups,Same-Race,16.972,0
607,12-15 years,Black,Same-Race,14.867,0
613,12-15 years,Black,Same-Race,7.1675,1
615,Less than 12 years,Black,Same-Race,21.498,1
616,12-15 years,Black,Same-Race,7.1675,1
620,12-15 years,Other Ethnic Groups,Same-Race,13.421,0
628,12-15 years,Other Ethnic Groups,Same-Race,15.849,0
638,12-15 years,Other Ethnic Groups,Same-Race,19.425,0
676,16+ years,Other Ethnic Groups,Same-Race,9.336,1
684,16+ years,Other Ethnic Groups,Same-Race,10.587,1
686,Less than 12 years,Other Ethnic Groups,Same-Race,8.668,1
688,Less than 12 years,Other Ethnic Groups,Same-Race,34.004,0
690,Less than 12 years,Other Ethnic Groups,Same-Race,31.997,0
693,12-15 years,Other Ethnic Groups,Same-Race,9.5825,1
700,12-15 years,Other Ethnic Groups,Same-Race,48.46,0
702,12-15 years,Other Ethnic Groups,Same-Race,12.527,1
705,12-15 years,Other Ethnic Groups,Same-Race,20.252,0
713,12-15 years,Other Ethnic Groups,Same-Race,5.002,1
716,16+ years,Other Ethnic Groups,Same-Race,4.4955,1
718,12-15 years,Other Ethnic Groups,Same-Race,6.776,1
720,12-15 years,Other Ethnic Groups,Same-Race,12,0
721,12-15 years,Other Ethnic Groups,Same-Race,13.5795,1
725,12-15 years,Other Ethnic Groups,Same-Race,11.291,1
728,Less than 12 years,Other Ethnic Groups,Same-Race,40.602,0
730,Less than 12 years,Other Ethnic Groups,Same-Race,54.412,0
734,12-15 years,Other Ethnic Groups,Same-Race,9.563,0
740,12-15 years,Other Ethnic Groups,Same-Race,7.901,0
748,16+ years,Other Ethnic Groups,Same-Race,24.03,0
751,16+ years,Other Ethnic Groups,Same-Race,7.901,0
753,Less than 12 years,Other Ethnic Groups,Same-Race,43.685,0
756,Less than 12 years,Other Ethnic Groups,Same-Race,43.685,0
759,12-15 years,Other Ethnic Groups,Same-Race,29.366,0
763,12-15 years,Other Ethnic Groups,Same-Race,2.554,0
769,12-15 years,Other Ethnic Groups,Same-Race,4.668,1
771,12-15 years,Other Ethnic Groups,Same-Race,4.9585,1
774,12-15 years,Other Ethnic Groups,Same-Race,2.554,0
780,12-15 years,Other Ethnic Groups,Same-Race,4.7365,1
786,12-15 years,Other Ethnic Groups,Same-Race,1.624,0
789,16+ years,Other Ethnic Groups,Same-Race,42.919,0
791,Less than 12 years,Other Ethnic Groups,Same-Race,14.972,1
794,12-15 years,Other Ethnic Groups,Same-Race,3.748,1
798,12-15 years,Other Ethnic Groups,Same-Race,1.106,0
807,12-15 years,Other Ethnic Groups,Same-Race,2.6695,1
809,Less than 12 years,Other Ethnic Groups,Same-Race,34.998,0
811,Less than 12 years,Other Ethnic Groups,Same-Race,34.075,1
814,12-15 years,Black,Same-Race,20.999,0
818,Less than 12 years,Other Ethnic Groups,Same-Race,46.979,0
820,16+ years,Other Ethnic Groups,Same-Race,28.775,0
823,12-15 years,Other Ethnic Groups,Same-Race,61.407,0
829,Less than 12 years,Other Ethnic Groups,Same-Race,2.998,0
831,16+ years,Other Ethnic Groups,Same-Race,22.475,0
840,16+ years,Other Ethnic Groups,Same-Race,10.743,0
842,Less than 12 years,Other Ethnic Groups,Same-Race,35.335,0
844,12-15 years,Other Ethnic Groups,Same-Race,32.175,0
846,Less than 12 years,Other Ethnic Groups,Same-Race,38.149,0
852,12-15 years,Other Ethnic Groups,Same-Race,11.2525,1
856,Less than 12 years,Other Ethnic Groups,Same-Race,1.3335,1
859,Less than 12 years,Other Ethnic Groups,Same-Race,55.833,0
863,Less than 12 years,Other Ethnic Groups,Same-Race,41.164,0
868,Less than 12 years,Other Ethnic Groups,Same-Race,37.06,0
872,Less than 12 years,Other Ethnic Groups,Same-Race,4.9005,1
875,12-15 years,Other Ethnic Groups,Same-Race,28.738,1
877,12-15 years,Other Ethnic Groups,Same-Race,1.232,1
880,16+ years,Other Ethnic Groups,Same-Race,29.634,0
883,Less than 12 years,Other Ethnic Groups,Same-Race,13.999,0
885,12-15 years,Other Ethnic Groups,Same-Race,38.324,0
887,16+ years,Other Ethnic Groups,Same-Race,5.541,0
895,16+ years,Other Ethnic Groups,Same-Race,37.268,0
900,Less than 12 years,Black,Same-Race,53.459,0
902,Less than 12 years,Black,Same-Race,30.96,0
904,Less than 12 years,Other Ethnic Groups,Same-Race,7.001,0
912,Less than 12 years,Other Ethnic Groups,Same-Race,46.1,0
915,12-15 years,Other Ethnic Groups,Same-Race,54.79,0
917,16+ years,Other Ethnic Groups,Same-Race,30.001,0
919,16+ years,Other Ethnic Groups,Same-Race,36.252,0
926,Less than 12 years,Black,Same-Race,24.999,0
929,Less than 12 years,Other Ethnic Groups,Same-Race,32,0
931,Less than 12 years,Other Ethnic Groups,Same-Race,25.999,0
936,12-15 years,Black,Same-Race,9.421,1
937,12-15 years,Other Ethnic Groups,Mixed-Race,8.783,0
940,12-15 years,Other Ethnic Groups,Same-Race,40.252,0
942,Less than 12 years,Other Ethnic Groups,Same-Race,6.875,1
947,16+ years,Other Ethnic Groups,Same-Race,13.588,1
952,12-15 years,Other Ethnic Groups,Same-Race,21.736,0
957,12-15 years,Other Ethnic Groups,Same-Race,13.057,0
960,Less than 12 years,Other Ethnic Groups,Same-Race,35.028,0
963,Less than 12 years,Black,Same-Race,24.26,0
964,Less than 12 years,Black,Same-Race,22.015,0
971,Less than 12 years,Other Ethnic Groups,Same-Race,34.571,0
973,Less than 12 years,Other Ethnic Groups,Same-Race,22.998,0
976,16+ years,Other Ethnic Groups,Same-Race,46.823,0
979,12-15 years,Other Ethnic Groups,Same-Race,47.17,0
982,12-15 years,Other Ethnic Groups,Same-Race,20.093,0
986,12-15 years,Other Ethnic Groups,Same-Race,12.887,0
987,12-15 years,Other Ethnic Groups,Same-Race,12.887,0
989,Less than 12 years,Other Ethnic Groups,Same-Race,32.167,0
991,Less than 12 years,Other Ethnic Groups,Same-Race,52.671,0
996,16+ years,Other Ethnic Groups,Same-Race,20.665,0
1002,16+ years,Other Ethnic Groups,Same-Race,18.76,0
1005,16+ years,Other Ethnic Groups,Same-Race,18.76,0
1008,12-15 years,Other Ethnic Groups,Same-Race,10.587,1
1010,16+ years,Other Ethnic Groups,Same-Race,7.6715,1
1012,16+ years,Other Ethnic Groups,Same-Race,25.073,0
1015,16+ years,Other Ethnic Groups,Same-Race,30.773,0
1021,Less than 12 years,Other Ethnic Groups,Same-Race,.879,0
1024,12-15 years,Other Ethnic Groups,Same-Race,1.002,0
1031,12-15 years,Other Ethnic Groups,Same-Race,48.802,0
1053,12-15 years,Other Ethnic Groups,Same-Race,3.669,0
1056,16+ years,Other Ethnic Groups,Same-Race,23.001,0
1060,Less than 12 years,Other Ethnic Groups,Same-Race,48.413,0
1061,16+ years,Other Ethnic Groups,Same-Race,14.511,0
1063,Less than 12 years,Other Ethnic Groups,Same-Race,49.916,0
1066,12-15 years,Other Ethnic Groups,Same-Race,60.504,0
1068,Less than 12 years,Other Ethnic Groups,Same-Race,21.9315,1
1069,12-15 years,Other Ethnic Groups,Same-Race,4.482,0
1074,Less than 12 years,Other Ethnic Groups,Same-Race,55.581,0
1076,12-15 years,Other Ethnic Groups,Same-Race,42.582,0
1077,16+ years,Other Ethnic Groups,Same-Race,26.604,0
1079,12-15 years,Other Ethnic Groups,Same-Race,36.301,1
1084,12-15 years,Other Ethnic Groups,Same-Race,8,1
1087,12-15 years,Other Ethnic Groups,Same-Race,32.668,0
1089,Less than 12 years,Other Ethnic Groups,Same-Race,20.999,0
1091,Less than 12 years,Other Ethnic Groups,Same-Race,57.049,0
1098,12-15 years,Other Ethnic Groups,Same-Race,2.0835,1
1099,12-15 years,Other Ethnic Groups,Same-Race,9.016,0
1101,Less than 12 years,Other Ethnic Groups,Same-Race,44,0
1110,Less than 12 years,Other Ethnic Groups,Same-Race,55.496,0
1112,Less than 12 years,Other Ethnic Groups,Same-Race,61.832,0
1115,Less than 12 years,Other Ethnic Groups,Same-Race,17.169,1
1121,Less than 12 years,Other Ethnic Groups,Same-Race,14.7955,1
1127,12-15 years,Other Ethnic Groups,Same-Race,10.6695,1
1131,12-15 years,Other Ethnic Groups,Same-Race,3.31,1
1133,12-15 years,Other Ethnic Groups,Same-Race,7.4345,1
1134,12-15 years,Other Ethnic Groups,Same-Race,18.757,1
1137,12-15 years,Other Ethnic Groups,Same-Race,3.888,0
1139,16+ years,Other Ethnic Groups,Same-Race,21.7465,1
1143,Less than 12 years,Other Ethnic Groups,Same-Race,3.425,0
1145,12-15 years,Other Ethnic Groups,Same-Race,10.872,1
1149,12-15 years,Other Ethnic Groups,Same-Race,27.97,0
1151,12-15 years,Other Ethnic Groups,Same-Race,14.0125,1
1153,12-15 years,Black,Same-Race,21.0045,1
1155,16+ years,Other Ethnic Groups,Same-Race,4.49,0
1160,12-15 years,Other Ethnic Groups,Same-Race,10.653,0
1161,12-15 years,Other Ethnic Groups,Same-Race,10.653,0
1164,12-15 years,Other Ethnic Groups,Same-Race,59.948,0
1166,16+ years,Other Ethnic Groups,Same-Race,9.0105,1
1169,16+ years,Other Ethnic Groups,Same-Race,8.999,1
1172,Less than 12 years,Other Ethnic Groups,Same-Race,49.35,0
1174,Less than 12 years,Other Ethnic Groups,Same-Race,56.101,0
1176,Less than 12 years,Other Ethnic Groups,Same-Race,14.012,0
1178,Less than 12 years,Other Ethnic Groups,Same-Race,22.982,0
1180,Less than 12 years,Other Ethnic Groups,Same-Race,44.077,0
1184,16+ years,Other Ethnic Groups,Same-Race,47.88,0
1186,Less than 12 years,Other Ethnic Groups,Same-Race,10.5955,1
1188,12-15 years,Other Ethnic Groups,Same-Race,4.665,1
1191,12-15 years,Other Ethnic Groups,Same-Race,50.653,0
1197,12-15 years,Other Ethnic Groups,Same-Race,13.029,0
1206,Less than 12 years,Other Ethnic Groups,Same-Race,57.164,0
1209,12-15 years,Other Ethnic Groups,Same-Race,1.4605,1
1210,16+ years,Other Ethnic Groups,Same-Race,24.747,0
1212,Less than 12 years,Other Ethnic Groups,Same-Race,51.001,0
1213,16+ years,Other Ethnic Groups,Same-Race,14.198,0
1216,16+ years,Other Ethnic Groups,Same-Race,44.383,0
1218,Less than 12 years,Other Ethnic Groups,Same-Race,36.205,1
1221,12-15 years,Other Ethnic Groups,Same-Race,47.001,0
1223,12-15 years,Other Ethnic Groups,Same-Race,50.962,0
1226,12-15 years,Other Ethnic Groups,Same-Race,38.42,0
1230,Less than 12 years,Other Ethnic Groups,Same-Race,23.458,0
1232,Less than 12 years,Other Ethnic Groups,Same-Race,48.559,0
1236,12-15 years,Other Ethnic Groups,Same-Race,10.9325,1
1238,Less than 12 years,Other Ethnic Groups,Same-Race,44.063,0
1241,16+ years,Other Ethnic Groups,Same-Race,22.579,0
1253,Less than 12 years,Other Ethnic Groups,Same-Race,1.251,1
1263,Less than 12 years,Other Ethnic Groups,Same-Race,16.309,0
1273,12-15 years,Other Ethnic Groups,Same-Race,2.8335,1
1278,12-15 years,Other Ethnic Groups,Same-Race,15.671,0
1282,16+ years,Other Ethnic Groups,Same-Race,11.587,0
1291,12-15 years,Other Ethnic Groups,Same-Race,6.39,1
1292,12-15 years,Other Ethnic Groups,Same-Race,15.6715,1
1295,12-15 years,Black,Same-Race,17.7765,1
1297,Less than 12 years,Black,Mixed-Race,10.6355,1
1300,Less than 12 years,Black,Same-Race,54.505,0
1308,16+ years,Black,Same-Race,14.631,0
1317,12-15 years,Black,Same-Race,16.057,0
1322,Less than 12 years,Other Ethnic Groups,Same-Race,19.001,0
1325,Less than 12 years,Other Ethnic Groups,Same-Race,19.001,0
1329,12-15 years,Other Ethnic Groups,Same-Race,3.165,0
1332,Less than 12 years,Other Ethnic Groups,Same-Race,24.671,0
1336,16+ years,Other Ethnic Groups,Same-Race,1.1075,1
1339,Less than 12 years,Other Ethnic Groups,Same-Race,27.499,1
1345,12-15 years,Other Ethnic Groups,Same-Race,17.254,1
1357,16+ years,Other Ethnic Groups,Same-Race,15.003,0
1360,16+ years,Other Ethnic Groups,Same-Race,14.768,0
1362,12-15 years,Other Ethnic Groups,Same-Race,8.6845,1
1366,Less than 12 years,Other Ethnic Groups,Same-Race,9.0855,1
1367,12-15 years,Other Ethnic Groups,Same-Race,6.0205,1
1369,12-15 years,Other Ethnic Groups,Same-Race,32.706,0
1372,12-15 years,Other Ethnic Groups,Same-Race,32.706,0
1374,12-15 years,Other Ethnic Groups,Same-Race,33.498,0
1376,16+ years,Other Ethnic Groups,Same-Race,30.653,1
1379,16+ years,Other Ethnic Groups,Same-Race,34.04,0
1381,Less than 12 years,Other Ethnic Groups,Same-Race,55.398,0
1383,Less than 12 years,Other Ethnic Groups,Same-Race,51.707,0
1385,16+ years,Other Ethnic Groups,Same-Race,33.207,0
1386,16+ years,Other Ethnic Groups,Same-Race,8.758,0
1388,Less than 12 years,Other Ethnic Groups,Same-Race,50.001,0
1399,16+ years,Other Ethnic Groups,Same-Race,18.971,0
1405,16+ years,Other Ethnic Groups,Same-Race,21.804,0
1412,16+ years,Other Ethnic Groups,Same-Race,5.53,0
1418,Less than 12 years,Other Ethnic Groups,Same-Race,42.341,0
1425,12-15 years,Other Ethnic Groups,Same-Race,10.179,0
1426,12-15 years,Other Ethnic Groups,Same-Race,.972,0
1434,12-15 years,Other Ethnic Groups,Same-Race,.972,0
1439,Less than 12 years,Other Ethnic Groups,Same-Race,14.565,0
1470,12-15 years,Other Ethnic Groups,Same-Race,13.689,0
1475,12-15 years,Other Ethnic Groups,Same-Race,7.368,0
1477,12-15 years,Other Ethnic Groups,Same-Race,25.084,0
1483,12-15 years,Other Ethnic Groups,Same-Race,22.242,0
1486,12-15 years,Other Ethnic Groups,Same-Race,5.1525,1
1489,12-15 years,Other Ethnic Groups,Same-Race,18.858,0
1491,Less than 12 years,Other Ethnic Groups,Same-Race,7.5815,1
1493,16+ years,Other Ethnic Groups,Same-Race,37.5005,1
1495,Less than 12 years,Other Ethnic Groups,Same-Race,53.498,0
1500,12-15 years,Other Ethnic Groups,Same-Race,6.407,0
1506,16+ years,Other Ethnic Groups,Same-Race,3.811,0
1509,Less than 12 years,Other Ethnic Groups,Same-Race,9.569,0
1511,16+ years,Other Ethnic Groups,Same-Race,40.115,0
1514,12-15 years,Other Ethnic Groups,Same-Race,34.582,0
1519,16+ years,Other Ethnic Groups,Same-Race,7.546,0
1520,16+ years,Other Ethnic Groups,Same-Race,7.546,0
1522,12-15 years,Other Ethnic Groups,Same-Race,58.053,0
1528,12-15 years,Other Ethnic Groups,Same-Race,11.272,0
1534,Less than 12 years,Other Ethnic Groups,Same-Race,60.208,0
1536,Less than 12 years,Other Ethnic Groups,Same-Race,22.001,0
1539,12-15 years,Other Ethnic Groups,Same-Race,21.164,0
1546,16+ years,Other Ethnic Groups,Same-Race,20,1
1555,12-15 years,Other Ethnic Groups,Same-Race,4.252,1
1589,12-15 years,Other Ethnic Groups,Same-Race,11.1675,1
1596,16+ years,Other Ethnic Groups,Same-Race,10.2065,1
1599,16+ years,Other Ethnic Groups,Same-Race,50.385,0
1603,Less than 12 years,Other Ethnic Groups,Mixed-Race,5.848,0
1609,16+ years,Other Ethnic Groups,Same-Race,1.6125,1
1611,Less than 12 years,Other Ethnic Groups,Same-Race,35.381,0
1624,12-15 years,Other Ethnic Groups,Same-Race,6.795,0
1632,16+ years,Other Ethnic Groups,Same-Race,2.012,0
1634,12-15 years,Other Ethnic Groups,Same-Race,4.082,1
1648,12-15 years,Other Ethnic Groups,Same-Race,1.807,0
1657,12-15 years,Other Ethnic Groups,Same-Race,4.739,1
1661,16+ years,Other Ethnic Groups,Same-Race,5.09,0
1668,Less than 12 years,Other Ethnic Groups,Same-Race,6.754,1
1670,Less than 12 years,Other Ethnic Groups,Same-Race,32.769,0
1685,12-15 years,Other Ethnic Groups,Same-Race,25.774,0
1690,12-15 years,Other Ethnic Groups,Same-Race,5.966,0
1693,16+ years,Other Ethnic Groups,Same-Race,7.966,1
1695,Less than 12 years,Other Ethnic Groups,Same-Race,52.611,0
1697,16+ years,Other Ethnic Groups,Same-Race,54.166,0
1701,12-15 years,Other Ethnic Groups,Same-Race,22.765,0
1704,Less than 12 years,Other Ethnic Groups,Same-Race,5.0025,1
1707,12-15 years,Other Ethnic Groups,Same-Race,29.229,0
1709,Less than 12 years,Other Ethnic Groups,Same-Race,49.125,0
1713,12-15 years,Other Ethnic Groups,Same-Race,39.488,0
1715,Less than 12 years,Other Ethnic Groups,Same-Race,45.087,0
1717,12-15 years,Other Ethnic Groups,Same-Race,4.6925,1
1720,16+ years,Other Ethnic Groups,Same-Race,9.999,1
1724,Less than 12 years,Other Ethnic Groups,Same-Race,2.3355,1
1726,12-15 years,Other Ethnic Groups,Same-Race,11.88,0
1736,12-15 years,Other Ethnic Groups,Same-Race,8.654,0
1745,Less than 12 years,Other Ethnic Groups,Same-Race,2.042,0
1749,12-15 years,Other Ethnic Groups,Same-Race,20.066,0
1754,12-15 years,Other Ethnic Groups,Same-Race,10.36,0
1758,16+ years,Other Ethnic Groups,Same-Race,24.8325,1
1760,12-15 years,Other Ethnic Groups,Same-Race,27.47,1
1769,12-15 years,Other Ethnic Groups,Same-Race,14.743,0
1778,12-15 years,Other Ethnic Groups,Same-Race,7.198,0
1781,Less than 12 years,Other Ethnic Groups,Same-Race,12.999,0
1783,Less than 12 years,Other Ethnic Groups,Same-Race,45.235,0
1787,16+ years,Other Ethnic Groups,Same-Race,13.58,1
1789,12-15 years,Other Ethnic Groups,Same-Race,21.706,0
1791,Less than 12 years,Other Ethnic Groups,Same-Race,37.582,0
1795,12-15 years,Other Ethnic Groups,Same-Race,4.9145,1
1798,12-15 years,Other Ethnic Groups,Same-Race,14.196,0
1805,12-15 years,Other Ethnic Groups,Same-Race,2.6095,1
1813,12-15 years,Other Ethnic Groups,Same-Race,20.419,1
1814,Less than 12 years,Other Ethnic Groups,Same-Race,.381,0
1817,Less than 12 years,Other Ethnic Groups,Same-Race,61.771,0
1820,16+ years,Other Ethnic Groups,Same-Race,42.847,0
1826,12-15 years,Other Ethnic Groups,Same-Race,23.565,0
1835,12-15 years,Other Ethnic Groups,Same-Race,42.01,0
